magic,version,name,source,sample_rate_note
TINYDRAW_INKTRACE,1,fast-curve-400-xl,recorded,recorded owner finger input via 1kHz sampler stream
t_us,kind,x,y
0,Down,48,200
1224,Move,48,200
3068,Move,48,200
4004,Move,48,200
5017,Move,48,200
5998,Move,48,200
7001,Move,48,200
7997,Move,48,200
9001,Move,48,200
9997,Move,48,200
11001,Move,48,200
11997,Move,48,200
13001,Move,48,200
13997,Move,48,200
15001,Move,48,200
15997,Move,48,200
17001,Move,48,200
17997,Move,48,200
19001,Move,48,200
19997,Move,48,200
21001,Move,48,200
21997,Move,48,200
23001,Move,48,200
23997,Move,48,200
25001,Move,48,200
25997,Move,48,200
27001,Move,48,200
27997,Move,48,200
29001,Move,48,200
29997,Move,48,200
31001,Move,48,200
31997,Move,48,200
33001,Move,48,200
33997,Move,48,200
35001,Move,48,200
35997,Move,48,200
37001,Move,48,200
37997,Move,48,200
39001,Move,48,200
39997,Move,48,200
41001,Move,48,200
41997,Move,48,200
43001,Move,48,200
43997,Move,48,200
45001,Move,48,200
45997,Move,48,200
47001,Move,48,200
47997,Move,48,200
49001,Move,48,200
49997,Move,48,200
51001,Move,48,200
51997,Move,49,199
53257,Move,49,199
55099,Move,49,199
56008,Move,49,199
57005,Move,49,199
57997,Move,49,199
59001,Move,49,199
59997,Move,49,199
61001,Move,49,199
61997,Move,49,199
63001,Move,49,199
63997,Move,49,199
65001,Move,49,199
65997,Move,50,198
67231,Move,50,198
69153,Move,50,198
70024,Move,50,198
70999,Move,50,198
72018,Move,50,198
73001,Move,50,198
74006,Move,50,198
74998,Move,50,198
76001,Move,50,198
76998,Move,50,198
78001,Move,50,198
78998,Move,52,196
80194,Move,52,196
82142,Move,52,196
83025,Move,52,196
83999,Move,52,196
85011,Move,52,196
85997,Move,52,196
87001,Move,52,196
87997,Move,52,196
89001,Move,52,196
90005,Move,52,196
91005,Move,55,193
91997,Move,55,193
93166,Move,55,193
94114,Move,55,193
95081,Move,55,193
96030,Move,55,193
97000,Move,55,193
98020,Move,55,193
98997,Move,55,193
100001,Move,55,193
100997,Move,55,193
102001,Move,55,193
102997,Move,55,193
104001,Move,55,193
104997,Move,58,190
106210,Move,58,190
108156,Move,58,190
109089,Move,58,190
110001,Move,58,190
111021,Move,58,190
111997,Move,58,190
113001,Move,58,190
113997,Move,58,190
115001,Move,58,190
115997,Move,58,190
117001,Move,58,190
117997,Move,62,183
119163,Move,62,183
120023,Move,62,183
121139,Move,62,183
122064,Move,62,183
123059,Move,62,183
123999,Move,62,183
125013,Move,62,183
125997,Move,62,183
127001,Move,62,183
127997,Move,62,183
129001,Move,62,183
129997,Move,62,183
131001,Move,68,176
131997,Move,68,176
133172,Move,68,176
134025,Move,68,176
135118,Move,68,176
136067,Move,68,176
137046,Move,68,176
137997,Move,68,176
139021,Move,68,176
139997,Move,68,176
141001,Move,68,176
141997,Move,68,176
143001,Move,68,176
143997,Move,74,168
145175,Move,74,168
146032,Move,74,168
147139,Move,74,168
148072,Move,74,168
148998,Move,74,168
150029,Move,74,168
150997,Move,74,168
152001,Move,74,168
152997,Move,74,168
154001,Move,74,168
154997,Move,74,168
156001,Move,74,168
157000,Move,81,159
158177,Move,81,159
158516,Move,81,159
160186,Move,81,159
161046,Move,81,159
161999,Move,81,159
163016,Move,81,159
164001,Move,81,159
165001,Move,81,159
165997,Move,81,159
167001,Move,81,159
167997,Move,81,159
169001,Move,81,159
169997,Move,87,151
171154,Move,87,151
172177,Move,87,151
173086,Move,87,151
174052,Move,87,151
175000,Move,87,151
176008,Move,87,151
176992,Move,87,151
177999,Move,87,151
178992,Move,87,151
179999,Move,87,151
180992,Move,87,151
181999,Move,87,151
182992,Move,93,143
184161,Move,93,143
185159,Move,93,143
186114,Move,93,143
187040,Move,93,143
188003,Move,93,143
189009,Move,93,143
189996,Move,93,143
190998,Move,93,143
191996,Move,93,143
192995,Move,93,143
193996,Move,93,143
194995,Move,93,143
195996,Move,93,143
196995,Move,98,134
197996,Move,98,134
199165,Move,98,134
200174,Move,98,134
201135,Move,98,134
202044,Move,98,134
203002,Move,98,134
204015,Move,98,134
204997,Move,98,134
206001,Move,98,134
206998,Move,98,134
208004,Move,98,134
208997,Move,98,134
210001,Move,103,126
210997,Move,103,126
212282,Move,103,126
214123,Move,103,126
215105,Move,103,126
215998,Move,103,126
217016,Move,103,126
217997,Move,103,126
219001,Move,103,126
219997,Move,103,126
221001,Move,103,126
221997,Move,103,126
223001,Move,107,117
223998,Move,107,117
225163,Move,107,117
226110,Move,107,117
227165,Move,107,117
228038,Move,107,117
229001,Move,107,117
230024,Move,107,117
230997,Move,107,117
232001,Move,107,117
232997,Move,107,117
234001,Move,107,117
234997,Move,107,117
236001,Move,110,109
236997,Move,110,109
238168,Move,110,109
239104,Move,110,109
240152,Move,110,109
241042,Move,110,109
242005,Move,110,109
243003,Move,110,109
243995,Move,110,109
244996,Move,110,109
245995,Move,110,109
246996,Move,110,109
247995,Move,110,109
248996,Move,112,102
249995,Move,112,102
251163,Move,112,102
252118,Move,112,102
253071,Move,112,102
254040,Move,112,102
254998,Move,112,102
256018,Move,112,102
