magic,version,name,source,sample_rate_note
TINYDRAW_INKTRACE,1,fast-curve-400,recorded,recorded owner finger input via 1kHz sampler stream
t_us,kind,x,y
0,Down,274,205
1262,Move,274,205
3044,Move,274,205
4004,Move,274,205
5000,Move,274,205
6001,Move,274,205
7005,Move,274,205
8001,Move,274,205
9000,Move,274,205
10001,Move,274,205
11000,Move,274,205
12001,Move,274,205
13000,Move,274,206
14001,Move,274,206
15299,Move,274,206
17080,Move,274,206
18017,Move,274,206
18998,Move,274,206
20002,Move,274,206
20998,Move,274,206
22002,Move,274,206
22998,Move,274,206
24003,Move,274,206
24998,Move,274,206
26002,Move,273,210
26998,Move,273,210
28248,Move,273,210
30151,Move,273,210
31014,Move,273,210
31998,Move,273,210
33002,Move,273,210
33998,Move,273,210
35002,Move,273,210
35998,Move,273,210
37002,Move,273,210
37998,Move,273,210
39002,Move,267,219
39998,Move,267,219
41200,Move,267,219
43153,Move,267,219
43998,Move,267,219
45009,Move,267,219
45998,Move,267,219
47002,Move,267,219
47998,Move,267,219
49002,Move,267,219
49998,Move,267,219
51002,Move,267,219
51998,Move,252,233
53195,Move,252,233
55150,Move,252,233
56000,Move,252,233
57009,Move,252,233
57998,Move,252,233
59002,Move,252,233
59998,Move,252,233
61002,Move,252,233
61998,Move,252,233
63002,Move,252,233
63998,Move,252,233
65002,Move,229,250
65998,Move,229,250
67170,Move,229,250
68142,Move,229,250
69115,Move,229,250
70024,Move,229,250
71000,Move,229,250
72016,Move,229,250
73000,Move,229,250
74002,Move,229,250
75010,Move,229,250
76002,Move,229,250
76998,Move,229,250
78002,Move,201,270
78998,Move,201,270
80177,Move,201,270
80509,Move,201,270
82137,Move,201,270
83030,Move,201,270
84000,Move,201,270
85012,Move,201,270
86000,Move,201,270
87002,Move,201,270
87998,Move,201,270
89002,Move,201,270
89998,Move,201,270
91004,Move,175,286
92007,Move,175,286
93236,Move,175,286
95193,Move,175,286
95571,Move,175,286
97010,Move,175,286
98032,Move,175,286
99001,Move,175,286
99999,Move,175,286
101001,Move,175,286
101999,Move,175,286
103001,Move,175,286
103999,Move,153,295
105001,Move,153,295
106161,Move,153,295
107171,Move,153,295
108110,Move,153,295
108999,Move,153,295
110015,Move,153,295
110998,Move,153,295
112002,Move,153,295
112998,Move,153,295
114002,Move,153,295
114998,Move,153,295
116002,Move,153,295
116998,Move,134,297
118207,Move,134,297
120149,Move,134,297
120999,Move,134,297
122010,Move,134,297
122998,Move,134,297
124002,Move,134,297
124998,Move,134,297
126002,Move,134,297
126998,Move,134,297
128002,Move,134,297
128998,Move,134,297
130002,Move,134,297
130998,Move,116,297
132255,Move,116,297
134160,Move,116,297
134998,Move,116,297
136012,Move,116,297
136998,Move,116,297
138002,Move,116,297
138998,Move,116,297
140002,Move,116,297
140998,Move,116,297
142002,Move,116,297
142998,Move,116,297
144002,Move,96,291
144998,Move,96,291
146192,Move,96,291
148160,Move,96,291
148998,Move,96,291
150008,Move,96,291
150998,Move,96,291
152002,Move,96,291
152998,Move,96,291
154002,Move,96,291
154998,Move,96,291
156002,Move,96,291
156998,Move,79,275
158185,Move,79,275
160161,Move,79,275
160999,Move,79,275
162007,Move,79,275
162998,Move,79,275
164002,Move,79,275
164998,Move,79,275
166002,Move,79,275
166998,Move,79,275
168002,Move,79,275
168998,Move,79,275
170002,Move,62,253
170998,Move,62,253
172152,Move,62,253
174159,Move,62,253
175000,Move,62,253
176008,Move,62,253
176998,Move,62,253
178002,Move,62,253
178998,Move,62,253
180002,Move,62,253
180998,Move,62,253
182002,Move,62,253
182998,Move,49,218
184229,Move,49,218
186158,Move,49,218
187080,Move,49,218
188036,Move,49,218
189001,Move,49,218
190021,Move,49,218
191000,Move,49,218
192004,Move,49,218
192998,Move,49,218
194002,Move,49,218
194998,Move,49,218
196002,Move,41,183
196998,Move,41,183
198203,Move,41,183
200136,Move,41,183
201025,Move,41,183
202000,Move,41,183
203013,Move,41,183
204000,Move,41,183
205002,Move,41,183
205998,Move,41,183
207002,Move,41,183
207998,Move,41,183
209010,Move,33,140
210003,Move,33,140
211187,Move,33,140
213143,Move,33,140
214023,Move,33,140
215000,Move,33,140
216013,Move,33,140
217000,Move,33,140
218002,Move,33,140
218998,Move,33,140
220002,Move,33,140
220998,Move,33,140
222002,Move,33,116
222998,Move,33,116
224180,Move,33,116
226158,Move,33,116
226998,Move,33,116
228006,Move,33,116
228998,Move,33,116
230002,Move,33,116
230998,Move,33,116
232002,Move,33,116
232998,Move,33,116
234002,Move,33,116
234998,Move,35,95
236186,Move,35,95
238159,Move,35,95
238998,Move,35,95
240007,Move,35,95
240998,Move,35,95
242008,Move,35,95
242998,Move,35,95
244002,Move,35,95
244998,Move,35,95
246002,Move,35,95
246998,Move,35,95
248002,Move,40,77
248998,Move,40,77
250182,Move,40,77
252152,Move,40,77
252999,Move,40,77
254010,Move,40,77
254998,Move,40,77
256002,Move,40,77
256998,Move,40,77
258002,Move,40,77
258998,Move,40,77
260002,Move,40,77
260998,Move,48,60
262184,Move,48,60
264154,Move,48,60
264998,Move,48,60
266009,Move,48,60
266998,Move,48,60
268002,Move,48,60
268998,Move,48,60
270002,Move,48,60
270998,Move,48,60
272002,Move,48,60
272998,Move,48,60
274002,Move,48,60
274998,Move,62,50
276250,Move,62,50
278142,Move,62,50
279026,Move,62,50
280000,Move,62,50
281015,Move,62,50
281998,Move,62,50
283002,Move,62,50
283998,Move,62,50
285002,Move,62,50
285998,Move,62,50
287002,Move,62,50
287998,Move,74,46
289203,Move,74,46
291156,Move,74,46
291998,Move,74,46
293007,Move,74,46
293998,Move,74,46
295002,Move,74,46
295998,Move,74,46
297002,Move,74,46
297998,Move,74,46
299002,Move,74,46
299998,Move,74,46
301002,Move,84,46
301998,Move,84,46
303206,Move,84,46
305148,Move,84,46
305998,Move,84,46
307010,Move,84,46
307998,Move,84,46
309002,Move,84,46
309999,Move,84,46
