magic,version,name,source,sample_rate_note
TINYDRAW_INKTRACE,1,fast-curve-dense-25,recorded,recorded owner finger input via 1kHz sampler stream
t_us,kind,x,y
0,Down,200,316
1256,Move,200,316
3050,Move,200,316
4002,Move,200,316
4998,Move,200,316
6000,Move,200,316
7004,Move,200,316
8003,Move,200,316
8999,Move,200,316
10000,Move,200,316
11001,Move,200,316
11999,Move,200,316
12999,Move,199,314
14000,Move,199,314
15280,Move,199,314
17087,Move,199,314
18020,Move,199,314
18998,Move,199,314
20002,Move,199,314
20998,Move,199,314
22002,Move,199,314
22998,Move,199,314
24003,Move,199,314
24998,Move,199,314
26002,Move,196,311
26998,Move,196,311
28196,Move,196,311
30155,Move,196,311
31013,Move,196,311
31998,Move,196,311
33004,Move,196,311
33998,Move,196,311
35002,Move,196,311
35998,Move,196,311
37002,Move,196,311
37998,Move,196,311
39002,Move,192,307
39998,Move,192,307
41191,Move,192,307
43160,Move,192,307
44007,Move,192,307
44998,Move,192,307
46002,Move,192,307
46998,Move,192,307
48002,Move,192,307
48998,Move,192,307
50002,Move,192,307
50998,Move,192,307
52002,Move,186,302
52998,Move,186,302
54167,Move,186,302
55232,Move,186,302
57038,Move,186,302
58008,Move,186,302
59001,Move,186,302
60001,Move,186,302
60999,Move,186,302
62001,Move,186,302
62999,Move,186,302
64001,Move,186,302
64999,Move,178,297
66001,Move,178,297
67182,Move,178,297
69145,Move,178,297
70006,Move,178,297
71006,Move,178,297
71998,Move,178,297
73004,Move,178,297
73998,Move,178,297
75002,Move,178,297
75998,Move,178,297
77002,Move,178,297
77998,Move,169,292
79214,Move,169,292
81143,Move,169,292
81999,Move,169,292
83007,Move,169,292
83998,Move,169,292
85004,Move,169,292
85998,Move,169,292
87002,Move,169,292
87998,Move,169,292
89002,Move,169,292
89998,Move,169,292
91004,Move,157,284
91998,Move,157,284
93201,Move,157,284
95145,Move,157,284
95999,Move,157,284
97007,Move,157,284
97998,Move,157,284
99004,Move,157,284
99998,Move,157,284
101002,Move,157,284
101998,Move,157,284
103002,Move,157,284
103998,Move,136,270
105195,Move,136,270
107149,Move,136,270
107998,Move,136,270
109006,Move,136,270
109999,Move,136,270
111004,Move,136,270
111998,Move,136,270
113002,Move,136,270
113998,Move,136,270
115002,Move,136,270
115998,Move,136,270
117002,Move,114,253
117998,Move,114,253
119212,Move,114,253
121144,Move,114,253
122017,Move,114,253
123003,Move,114,253
124015,Move,114,253
125008,Move,114,253
126007,Move,114,253
126998,Move,114,253
128002,Move,114,253
128998,Move,114,253
130002,Move,114,253
130998,Move,91,230
132192,Move,91,230
134202,Move,91,230
136063,Move,91,230
137020,Move,91,230
137998,Move,91,230
139004,Move,91,230
139998,Move,91,230
141002,Move,91,230
142002,Move,91,230
143002,Move,91,230
143998,Move,73,201
145165,Move,73,201
146110,Move,73,201
147070,Move,73,201
148041,Move,73,201
148999,Move,73,201
150019,Move,73,201
150998,Move,73,201
152004,Move,73,201
152998,Move,73,201
154002,Move,73,201
154998,Move,73,201
156002,Move,73,201
156998,Move,58,170
158283,Move,58,170
160139,Move,58,170
161037,Move,58,170
162000,Move,58,170
163008,Move,58,170
164000,Move,58,170
165004,Move,58,170
165998,Move,58,170
167002,Move,58,170
167998,Move,58,170
169002,Move,43,132
169998,Move,43,132
