magic,version,name,source,sample_rate_note
TINYDRAW_INKTRACE,1,scribble-multistroke,recorded,recorded owner finger input via 1kHz sampler stream
t_us,kind,x,y
0,Down,70,323
1004,Move,70,323
2255,Move,70,323
4055,Move,70,323
4999,Move,70,323
5997,Move,70,323
6999,Move,70,323
8000,Move,70,323
8997,Move,70,323
9997,Move,70,323
10999,Move,70,323
12000,Move,70,323
12998,Move,70,321
14278,Move,70,321
16094,Move,70,321
17010,Move,70,321
17997,Move,70,321
19001,Move,70,321
19997,Move,70,321
21001,Move,70,321
21997,Move,70,321
23001,Move,70,321
23997,Move,70,321
25001,Move,70,321
25997,Move,72,312
27217,Move,72,312
29149,Move,72,312
30012,Move,72,312
30998,Move,72,312
32001,Move,72,312
32998,Move,72,312
34001,Move,72,312
34998,Move,72,312
36001,Move,72,312
36998,Move,72,312
38001,Move,72,312
38998,Move,83,284
40182,Move,83,284
42153,Move,83,284
42997,Move,83,284
44011,Move,83,284
44997,Move,83,284
46001,Move,83,284
46997,Move,83,284
48001,Move,83,284
48997,Move,83,284
50001,Move,83,284
50997,Move,83,284
52001,Move,83,284
52997,Move,112,230
54158,Move,112,230
55131,Move,112,230
56111,Move,112,230
57030,Move,112,230
57999,Move,112,230
59011,Move,112,230
59999,Move,112,230
61001,Move,112,230
61997,Move,112,230
63001,Move,112,230
63997,Move,112,230
65001,Move,155,164
66005,Move,155,164
67185,Move,155,164
69103,Move,155,164
70131,Move,155,164
71040,Move,155,164
72051,Move,155,164
72997,Move,155,164
74029,Move,155,164
74997,Move,155,164
76001,Move,155,164
76997,Move,155,164
78001,Move,210,100
78997,Move,210,100
80218,Move,210,100
82070,Move,210,100
83105,Move,210,100
84058,Move,210,100
85032,Move,210,100
86033,Move,210,100
87006,Move,210,100
88024,Move,210,100
89006,Move,210,100
90001,Move,210,100
90997,Move,257,50
92231,Move,257,50
94057,Move,257,50
95102,Move,257,50
96096,Move,257,50
97013,Move,257,50
98034,Move,257,50
99004,Move,257,50
100015,Move,257,50
100995,Move,257,50
101996,Move,257,50
102995,Move,257,50
103996,Move,291,26
104995,Move,291,26
106201,Move,291,26
108138,Move,291,26
109164,Move,291,26
110045,Move,291,26
111034,Move,291,26
111997,Move,291,26
113029,Move,291,26
113997,Move,291,26
116005,Up,291,26
418036,Down,123,64
419039,Move,123,64
420058,Move,123,64
421005,Move,123,64
422260,Move,123,64
424070,Move,123,64
425001,Move,123,64
425999,Move,123,64
427000,Move,123,64
427999,Move,123,64
429000,Move,123,64
429999,Move,123,64
431000,Move,123,64
431999,Move,123,64
433000,Move,123,64
433999,Move,123,64
435004,Move,123,64
