magic,version,name,source,sample_rate_note
TINYDRAW_INKTRACE,1,slow-precise-100,recorded,recorded owner finger input via 1kHz sampler stream
t_us,kind,x,y
0,Down,61,354
1256,Move,61,354
3045,Move,61,354
4006,Move,61,354
4996,Move,61,354
5997,Move,61,354
6998,Move,61,354
7996,Move,61,354
8996,Move,61,354
9997,Move,61,354
10998,Move,61,354
11996,Move,61,354
12996,Move,61,354
13997,Move,61,354
14998,Move,61,354
15996,Move,61,354
16996,Move,61,354
17997,Move,61,354
18998,Move,61,354
19997,Move,61,354
20996,Move,61,354
21997,Move,61,354
22998,Move,61,354
23996,Move,61,354
24996,Move,61,354
25997,Move,61,354
26998,Move,61,354
27996,Move,61,354
28996,Move,61,354
29997,Move,61,354
30998,Move,61,354
31996,Move,61,354
32996,Move,61,354
33997,Move,61,354
34998,Move,61,354
35996,Move,61,354
36996,Move,61,354
37997,Move,61,354
38998,Move,61,354
39996,Move,61,354
40996,Move,61,354
41997,Move,61,354
42998,Move,61,354
43996,Move,61,354
44996,Move,61,354
45997,Move,61,354
46998,Move,61,354
47996,Move,61,354
48996,Move,61,354
49997,Move,61,354
50998,Move,61,354
51996,Move,61,354
52996,Move,61,354
53997,Move,61,354
54998,Move,61,354
55996,Move,61,354
56996,Move,61,354
57997,Move,61,354
58998,Move,61,354
59996,Move,61,354
60996,Move,61,354
61997,Move,61,354
62998,Move,61,354
63996,Move,61,354
64996,Move,61,354
65997,Move,61,354
66998,Move,61,354
67996,Move,61,354
68996,Move,61,354
69997,Move,61,354
70998,Move,61,354
71996,Move,61,354
72996,Move,61,354
73997,Move,61,354
74998,Move,61,354
75996,Move,61,354
76996,Move,61,354
77997,Move,61,354
78998,Move,61,354
79996,Move,61,354
80996,Move,61,354
81997,Move,61,354
82998,Move,61,354
83996,Move,61,354
84996,Move,61,354
85997,Move,61,354
86998,Move,61,354
87996,Move,61,354
88996,Move,61,354
89997,Move,61,354
90998,Move,61,354
91996,Move,61,354
92996,Move,61,354
93997,Move,61,354
94998,Move,61,354
95996,Move,61,354
96996,Move,61,354
97997,Move,61,354
98998,Move,61,354
99996,Move,61,354
100996,Move,61,354
101997,Move,61,354
102998,Move,61,354
103996,Move,61,354
104996,Move,62,354
105997,Move,62,354
107292,Move,62,354
109082,Move,62,354
110013,Move,62,354
110995,Move,62,354
111999,Move,62,354
112995,Move,62,354
113999,Move,62,354
114995,Move,62,354
115999,Move,62,354
116995,Move,62,354
117999,Move,63,354
118995,Move,63,354
120233,Move,63,354
122156,Move,63,354
123010,Move,63,354
123995,Move,63,354
124999,Move,63,354
125995,Move,63,354
126999,Move,63,354
127995,Move,63,354
128999,Move,63,354
129995,Move,63,354
130999,Move,63,354
131995,Move,66,353
133183,Move,66,353
135156,Move,66,353
136008,Move,66,353
136995,Move,66,353
137999,Move,66,353
138995,Move,66,353
139999,Move,66,353
140995,Move,66,353
141999,Move,66,353
142995,Move,66,353
143999,Move,66,353
144995,Move,69,352
146225,Move,69,352
148152,Move,69,352
149006,Move,69,352
149996,Move,69,352
150999,Move,69,352
151995,Move,69,352
152999,Move,69,352
153995,Move,69,352
154999,Move,69,352
155995,Move,69,352
156999,Move,69,352
157995,Move,73,350
159194,Move,73,350
161147,Move,73,350
162007,Move,73,350
162995,Move,73,350
163999,Move,73,350
164995,Move,73,350
165999,Move,73,350
166995,Move,73,350
167999,Move,73,350
168995,Move,73,350
169999,Move,73,350
170995,Move,77,348
172194,Move,77,348
174148,Move,77,348
175007,Move,77,348
175995,Move,77,348
176999,Move,77,348
177995,Move,77,348
178999,Move,77,348
179995,Move,77,348
180999,Move,77,348
181995,Move,77,348
182999,Move,77,348
183995,Move,82,345
185193,Move,82,345
187146,Move,82,345
188004,Move,82,345
188999,Move,82,345
189995,Move,82,345
190999,Move,82,345
191995,Move,82,345
192999,Move,82,345
193995,Move,82,345
194999,Move,82,345
195995,Move,82,345
196999,Move,87,341
198198,Move,87,341
200149,Move,87,341
200996,Move,87,341
202006,Move,87,341
202995,Move,87,341
203999,Move,87,341
204995,Move,87,341
205999,Move,87,341
206995,Move,87,341
207999,Move,87,341
208995,Move,87,341
209999,Move,93,333
210995,Move,93,333
212188,Move,93,333
214146,Move,93,333
214996,Move,93,333
216006,Move,93,333
216995,Move,93,333
217999,Move,93,333
218995,Move,93,333
219999,Move,93,333
220995,Move,93,333
221999,Move,93,333
222995,Move,99,326
224190,Move,99,326
226147,Move,99,326
226996,Move,99,326
228007,Move,99,326
228995,Move,99,326
229999,Move,99,326
230995,Move,99,326
231999,Move,99,326
232995,Move,99,326
233999,Move,99,326
234995,Move,99,326
235999,Move,106,318
236995,Move,106,318
238198,Move,106,318
240148,Move,106,318
240996,Move,106,318
242005,Move,106,318
242995,Move,106,318
243999,Move,106,318
244995,Move,106,318
245999,Move,106,318
246995,Move,106,318
247999,Move,106,318
248995,Move,113,310
250218,Move,113,310
252152,Move,113,310
252998,Move,113,310
254005,Move,113,310
254995,Move,113,310
255999,Move,113,310
256995,Move,113,310
257999,Move,113,310
258995,Move,113,310
259999,Move,113,310
260995,Move,113,310
261999,Move,119,302
262995,Move,119,302
264196,Move,119,302
266149,Move,119,302
266995,Move,119,302
268006,Move,119,302
268995,Move,119,302
269999,Move,119,302
270995,Move,119,302
271999,Move,119,302
272995,Move,119,302
273999,Move,119,302
274995,Move,125,295
276198,Move,125,295
278146,Move,125,295
278995,Move,125,295
280007,Move,125,295
280995,Move,125,295
281999,Move,125,295
282995,Move,125,295
283999,Move,125,295
284995,Move,125,295
285999,Move,125,295
286995,Move,125,295
287999,Move,133,287
288995,Move,133,287
290189,Move,133,287
292157,Move,133,287
292995,Move,133,287
294004,Move,133,287
294995,Move,133,287
295999,Move,133,287
296995,Move,133,287
297999,Move,133,287
298995,Move,133,287
299999,Move,133,287
300995,Move,143,278
302183,Move,143,278
304158,Move,143,278
304996,Move,143,278
306004,Move,143,278
306995,Move,143,278
307999,Move,143,278
308995,Move,143,278
309999,Move,143,278
310995,Move,143,278
311999,Move,143,278
312996,Move,143,278
313999,Move,143,278
314995,Move,153,269
316202,Move,153,269
318149,Move,153,269
318996,Move,153,269
320006,Move,153,269
320995,Move,153,269
321999,Move,153,269
322995,Move,153,269
323999,Move,153,269
324995,Move,153,269
325999,Move,153,269
326995,Move,153,269
327999,Move,162,261
328995,Move,162,261
330196,Move,162,261
332146,Move,162,261
332996,Move,162,261
334007,Move,162,261
334995,Move,162,261
335999,Move,162,261
336995,Move,162,261
337999,Move,162,261
338995,Move,162,261
339999,Move,162,261
340995,Move,170,252
342223,Move,170,252
344160,Move,170,252
344995,Move,170,252
346007,Move,170,252
346995,Move,170,252
347999,Move,170,252
348995,Move,170,252
349999,Move,170,252
350995,Move,170,252
351999,Move,170,252
352995,Move,170,252
353999,Move,177,244
354995,Move,177,244
356171,Move,177,244
358161,Move,177,244
358995,Move,177,244
360004,Move,177,244
360995,Move,177,244
361999,Move,177,244
362995,Move,177,244
363999,Move,177,244
364995,Move,177,244
365999,Move,177,244
366995,Move,183,238
368187,Move,183,238
370152,Move,183,238
370995,Move,183,238
372006,Move,183,238
372995,Move,183,238
373999,Move,183,238
374995,Move,183,238
375999,Move,183,238
376995,Move,183,238
377999,Move,183,238
378996,Move,183,238
379999,Move,189,232
380995,Move,189,232
382192,Move,189,232
384149,Move,189,232
384996,Move,189,232
386006,Move,189,232
386995,Move,189,232
387999,Move,189,232
388995,Move,189,232
389999,Move,189,232
390995,Move,189,232
391999,Move,189,232
392996,Move,195,226
394190,Move,195,226
396156,Move,195,226
396998,Move,195,226
398005,Move,195,226
398995,Move,195,226
399999,Move,195,226
400995,Move,195,226
401999,Move,195,226
402995,Move,195,226
403999,Move,195,226
404995,Move,195,226
405999,Move,201,221
406996,Move,201,221
408170,Move,201,221
410157,Move,201,221
410995,Move,201,221
412005,Move,201,221
412995,Move,201,221
413999,Move,201,221
414995,Move,201,221
415999,Move,201,221
416995,Move,201,221
417999,Move,201,221
418995,Move,207,215
420197,Move,207,215
422151,Move,207,215
422997,Move,207,215
424007,Move,207,215
424995,Move,207,215
425999,Move,207,215
426995,Move,207,215
427999,Move,207,215
428995,Move,207,215
429999,Move,207,215
430995,Move,207,215
431999,Move,213,210
432995,Move,213,210
434197,Move,213,210
436148,Move,213,210
436995,Move,213,210
438006,Move,213,210
438995,Move,213,210
440000,Move,213,210
440995,Move,213,210
441999,Move,213,210
442995,Move,213,210
443999,Move,213,210
444995,Move,218,205
446192,Move,218,205
448150,Move,218,205
448995,Move,218,205
450006,Move,218,205
450995,Move,218,205
451999,Move,218,205
452995,Move,218,205
453999,Move,218,205
454995,Move,218,205
455999,Move,218,205
456995,Move,218,205
457999,Move,223,200
458995,Move,223,200
460197,Move,223,200
462150,Move,223,200
462995,Move,223,200
464007,Move,223,200
464995,Move,223,200
465999,Move,223,200
466995,Move,223,200
467999,Move,223,200
468995,Move,223,200
469999,Move,223,200
470995,Move,228,195
472189,Move,228,195
474152,Move,228,195
474995,Move,228,195
476004,Move,228,195
476995,Move,228,195
477999,Move,228,195
478995,Move,228,195
479999,Move,228,195
480995,Move,228,195
481999,Move,228,195
482995,Move,228,195
483999,Move,233,190
484995,Move,233,190
486230,Move,233,190
488164,Move,233,190
488996,Move,233,190
490006,Move,233,190
490995,Move,233,190
491999,Move,233,190
492995,Move,233,190
493999,Move,233,190
494995,Move,233,190
495999,Move,233,190
496995,Move,233,190
497999,Move,238,185
498995,Move,238,185
500169,Move,238,185
502157,Move,238,185
502996,Move,238,185
504004,Move,238,185
504995,Move,238,185
505999,Move,238,185
506995,Move,238,185
507999,Move,238,185
508995,Move,238,185
509999,Move,238,185
510995,Move,244,179
512192,Move,244,179
514316,Move,244,179
516131,Move,244,179
517132,Move,244,179
518105,Move,244,179
519118,Move,244,179
520078,Move,244,179
521140,Move,244,179
522063,Move,244,179
523144,Move,244,179
524073,Move,250,173
525096,Move,250,173
526070,Move,250,173
