magic,version,name,source,sample_rate_note
TINYDRAW_INKTRACE,1,under-overlay,recorded,recorded owner finger input via 1kHz sampler stream
t_us,kind,x,y
0,Down,261,308
1236,Move,261,308
3071,Move,261,308
4027,Move,261,308
4994,Move,261,308
6008,Move,261,308
6994,Move,261,308
8003,Move,261,308
8994,Move,261,308
10003,Move,261,308
10994,Move,261,308
12003,Move,261,308
12994,Move,261,308
14003,Move,261,308
14994,Move,261,308
16003,Move,261,308
16994,Move,261,308
18003,Move,261,308
18994,Move,261,308
20003,Move,261,308
20994,Move,261,308
22008,Move,261,308
22994,Move,261,308
24003,Move,261,308
24994,Move,261,308
26003,Move,261,308
26994,Move,261,308
28003,Move,261,308
28994,Move,261,308
30003,Move,261,308
30994,Move,261,308
32003,Move,261,308
32994,Move,261,308
34003,Move,261,308
34994,Move,261,308
36003,Move,261,308
36994,Move,261,308
38003,Move,261,308
38994,Move,261,308
40008,Move,261,308
40994,Move,261,308
42003,Move,261,308
42994,Move,261,308
44003,Move,261,308
44994,Move,261,308
46003,Move,261,308
46994,Move,261,308
48003,Move,261,308
48994,Move,261,308
50003,Move,261,308
50994,Move,261,308
52003,Move,261,308
52994,Move,261,308
54003,Move,261,308
54994,Move,261,308
56008,Move,261,308
56994,Move,261,308
58003,Move,261,308
58994,Move,261,308
60003,Move,261,308
60994,Move,261,308
62003,Move,261,308
62994,Move,261,308
64003,Move,261,308
64994,Move,261,308
66003,Move,261,308
66994,Move,261,308
68003,Move,261,308
68994,Move,261,308
70003,Move,261,308
70994,Move,261,308
72003,Move,261,308
72994,Move,261,308
74008,Move,261,308
74994,Move,261,308
76003,Move,261,308
76994,Move,261,308
78003,Move,261,308
78994,Move,261,308
80003,Move,261,308
80994,Move,261,308
82003,Move,261,308
82994,Move,261,308
84003,Move,261,308
84994,Move,261,308
86003,Move,261,308
86994,Move,261,308
88003,Move,261,308
88994,Move,261,308
90008,Move,261,308
90994,Move,261,308
92003,Move,261,308
92994,Move,261,308
94003,Move,261,308
94994,Move,261,308
96003,Move,261,308
96994,Move,261,308
98003,Move,261,308
98994,Move,261,308
100003,Move,261,308
100994,Move,261,308
102003,Move,261,308
102994,Move,261,308
104003,Move,261,308
104994,Move,261,308
106008,Move,261,308
106994,Move,261,308
108003,Move,261,308
108994,Move,261,308
110003,Move,261,308
110994,Move,261,308
112003,Move,261,308
112994,Move,261,308
114003,Move,261,308
114994,Move,261,308
116003,Move,261,308
116994,Move,261,308
118003,Move,261,308
118994,Move,260,308
120280,Move,260,308
122123,Move,260,308
123029,Move,260,308
123994,Move,260,308
125003,Move,260,308
125994,Move,260,308
127003,Move,260,308
127994,Move,260,308
129003,Move,260,308
129994,Move,260,308
131003,Move,260,308
131994,Move,259,308
133218,Move,259,308
135162,Move,259,308
136011,Move,259,308
136994,Move,259,308
138003,Move,259,308
138995,Move,259,308
140007,Move,259,308
140994,Move,259,308
142003,Move,259,308
142994,Move,259,308
144003,Move,259,308
144994,Move,258,308
146190,Move,258,308
148161,Move,258,308
